ndvi;ph;cond;richness;cover;stage;stage2;field_rel
0.254;9;209;10;40;1;16;1a
0.292;9.07;231;9;30;1;16;1b
0.399;9.81;442;7;20;1;16;2a
0.338;6.4;365;7;25;1;16;2b
0.328;9.9;482;7;20;1;16;3a
0.329;9.3;262;8;30;1;16;3b
0.405;8.9;282;9;60;1;16;4a
0.278;9.53;523;9;30;1;16;4b
0.295;8.2;484;9;30;1;16;5a
0.456;8.6;516;12;35;1;16;5b
0.574;9.58;327;8;25;1;16;6a
0.256;9.47;411;11;20;1;16;6b
0.459;8.94;458;12;40;1;16;7a
0.401;9.08;123;9;60;1;16;7b
0.243;9.36;423;8;50;1;16;8a
0.257;9.3;334;10;60;1;16;8b
0.178;9.77;515;11;75;1;16;9a
0.424;9.33;106;13;85;1;16;9b
0.318;9.38;274;10;35;1;16;10a
0.25;9.72;206;10;20;1;16;10b
0.629;9.52;367;16;30;2;8;11a
0.458;4.9;232;10;40;2;8;11b
0.648;9.06;415;11;95;2;8;12a
0.542;8.73;613;9;50;2;8;12b
0.639;7.97;387;12;30;2;8;13a
0.449;9.59;340;9;60;2;8;13b
0.529;7.9;434;7;60;2;8;14a
0.738;8.71;699;9;90;2;8;14b
0.526;8.69;187.6;6;80;2;8;15a
0.613;9.15;255;5;90;2;8;15b
0.592;8.22;234;10;70;2;8;16a
0.58;9.66;278;12;20;2;8;16b
0.493;9.84;257;16;20;2;8;17a
0.507;8.82;338;10;35;2;8;17b
0.6;8.8;337;11;25;2;8;18a
0.616;9.85;390;10;30;2;8;18b
0.45;8.01;141;10;25;2;8;19a
0.534;9.21;374;9;95;2;8;19b
0.627;9.17;203;10;60;2;8;20a
0.5;9.9;275;12;75;2;8;20b
0.724138;8.05;350;11;70;3;11;21a
0.77;7.27;292;12;95;3;11;21b
0.61;8.34;49.6;9;98;3;11;22a
0.56;7.9;343;14;55;3;11;22b
0.764;7.08;357;9;60;3;11;23a
0.572;6.68;166;10;70;3;11;23b
0.763;7.85;486;18;70;3;11;24a
0.728;7.9;445;13;80;3;11;24b
0.778;7.85;97.9;16;90;3;11;25a
0.731092;7.73;152.3;16;60;3;11;25b
0.768;6.74;176.8;16;80;3;11;26a
0.82;7.37;595;18;95;3;11;26b
0.665;7.5;141.4;18;80;3;11;27a
0.689;6.62;135;22;80;3;11;27b
0.686;6.82;99.1;15;95;3;11;28a
0.808;6.15;191;16;80;3;11;28b
0.801;6.71;442;22;60;3;11;29a
0.62;7.6;169.2;27;80;3;11;29b
0.671;7.77;96.5;12;80;3;11;30a
0.789;6.93;87.8;19;99;3;11;30b
